,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,601398.XSHG,601398,工商银行,XSHG,2007/6/1,5.48,5.48,5.49,5.64,5.41,5.43,556144830,3069340160,,0.0606,0.587716162,49851635400,1.81E+12,-0.0091,,24.2398,3.7369,1,
1,601398.XSHG,601398,工商银行,XSHG,2007/6/4,5.43,5.43,5.41,5.42,4.95,4.99,533738688,2742126340,,0.0581,0.587716162,45812092200,1.67E+12,-0.081,,22.2757,3.4341,1,
2,601398.XSHG,601398,工商银行,XSHG,2007/6/5,4.99,4.99,4.97,5.15,4.72,5.08,408971392,2024174340,,0.0445,0.587716162,46638362400,1.70E+12,0.018,,22.6774,3.4961,1,
3,601398.XSHG,601398,工商银行,XSHG,2007/6/6,5.08,5.08,5.09,5.1,4.99,5.04,257772160,1297019390,,0.0281,0.587716162,46271131200,1.68E+12,-0.0079,,22.4989,3.4685,1,
4,601398.XSHG,601398,工商银行,XSHG,2007/6/7,5.04,5.04,5.03,5.07,5,5.07,286689920,1442320640,,0.0312,0.587716162,46546554600,1.69E+12,0.006,,22.6328,3.4892,1,
5,601398.XSHG,601398,工商银行,XSHG,2007/6/8,5.07,5.07,5.07,5.07,4.99,5.02,257747824,1293774590,,0.0281,0.587716162,46087515600,1.68E+12,-0.0099,,22.4096,3.4548,1,
6,601398.XSHG,601398,工商银行,XSHG,2007/6/11,5.02,5.02,5.02,5.08,4.99,5.06,237023744,1192958340,,0.0258,0.587716162,46454746800,1.69E+12,0.008,,22.5881,3.4823,1,
7,601398.XSHG,601398,工商银行,XSHG,2007/6/12,5.06,5.06,0,0,0,5.06,0,0,0,0,0.587716162,46454746800,1.69E+12,0,,22.5881,3.4823,0,
8,601398.XSHG,601398,工商银行,XSHG,2007/6/13,5.06,5.06,5.11,5.32,5.1,5.28,526798304,2728065020,,0.0574,0.587716162,48474518400,1.76E+12,0.0435,,23.5702,3.6337,1,
9,601398.XSHG,601398,工商银行,XSHG,2007/6/14,5.28,5.28,5.26,5.26,5.12,5.13,243979504,1264682620,,0.0266,0.587716162,47097401400,1.71E+12,-0.0284,,22.9006,3.5305,1,
10,601398.XSHG,601398,工商银行,XSHG,2007/6/15,5.13,5.13,5.11,5.22,5.06,5.15,212114736,1088573820,,0.0231,0.587716162,47281017000,1.72E+12,0.0039,,22.9899,3.5442,1,
