,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,601939.XSHG,601939,建设银行,XSHG,2008/9/8,4.93,4.93,4.97,5.08,4.96,5,53378340,267811232,,0.0059,0.596447945,45000000000,1.17E+12,0.0142,12.4969,9.9583,2.5735,1,
1,601939.XSHG,601939,建设银行,XSHG,2008/9/9,5,5,5.03,5.05,4.93,4.99,32882156,164120912,,0.0037,0.596447945,44910000000,1.17E+12,-0.002,12.4719,9.9384,2.5684,1,
2,601939.XSHG,601939,建设银行,XSHG,2008/9/10,4.99,4.99,4.96,5.05,4.82,4.95,27392208,135157424,,0.003,0.596447945,44550000000,1.16E+12,-0.008,12.3719,9.8587,2.5478,1,
3,601939.XSHG,601939,建设银行,XSHG,2008/9/11,4.95,4.95,4.93,4.95,4.77,4.79,33411016,161209312,,0.0037,0.596447945,43110000000,1.12E+12,-0.0323,11.972,9.54,2.4654,1,
4,601939.XSHG,601939,建设银行,XSHG,2008/9/12,4.79,4.79,4.77,4.84,4.71,4.73,21366088,101918344,,0.0024,0.596447945,42570000000,1.11E+12,-0.0125,11.822,9.4205,2.4345,1,
5,601939.XSHG,601939,建设银行,XSHG,2008/9/16,4.73,4.73,4.5,4.5,4.26,4.26,100799296,431687040,,0.0112,0.596447945,38340000000,9.96E+11,-0.0994,10.6473,8.4845,2.1926,1,
6,601939.XSHG,601939,建设银行,XSHG,2008/9/17,4.26,4.26,4.11,4.2,3.83,3.83,135987408,536781216,,0.0151,0.596447945,34470000000,8.95E+11,-0.1009,9.5726,7.628,1.9713,1,
7,601939.XSHG,601939,建设银行,XSHG,2008/9/18,3.83,3.83,3.65,4.1,3.46,3.81,223451744,819192700,,0.0248,0.596447945,34290000000,8.90E+11,-0.0052,9.5226,7.5882,1.961,1,
8,601939.XSHG,601939,建设银行,XSHG,2008/9/19,3.81,3.81,4.19,4.19,4.19,4.19,21138588,88570688,,0.0023,0.596447945,37710000000,9.79E+11,0.0997,10.4724,8.345,2.1566,1,
9,601939.XSHG,601939,建设银行,XSHG,2008/9/22,4.19,4.19,4.61,4.61,4.61,4.61,91982800,424040704,,0.0102,0.596447945,41490000000,1.08E+12,0.1002,11.5221,9.1815,2.3728,1,
10,601939.XSHG,601939,建设银行,XSHG,2008/9/23,4.61,4.61,4.61,4.83,4.47,4.66,599710400,2792196100,,0.0666,0.596447945,41940000000,1.09E+12,0.0108,11.6471,9.2811,2.3985,1,
11,601939.XSHG,601939,建设银行,XSHG,2008/9/24,4.66,4.66,4.47,4.59,4.33,4.58,205314240,917140990,,0.0228,0.596447945,41220000000,1.07E+12,-0.0172,11.4471,9.1218,2.3573,1,
12,601939.XSHG,601939,建设银行,XSHG,2008/9/25,4.58,4.58,4.53,4.89,4.47,4.71,169865920,801662720,,0.0189,0.596447945,42390000000,1.10E+12,0.0284,11.7721,9.3807,2.4242,1,
13,601939.XSHG,601939,建设银行,XSHG,2008/9/26,4.71,4.71,4.75,4.79,4.58,4.73,103213488,483919264,,0.0115,0.596447945,42570000000,1.11E+12,0.0042,11.822,9.4205,2.4345,1,
14,601939.XSHG,601939,建设银行,XSHG,2008/10/6,4.73,4.73,4.65,4.65,4.41,4.44,85006088,383802208,,0.0094,0.596447945,39960000000,1.04E+12,-0.0613,10.7789,9.2384,2.17,1,
15,601939.XSHG,601939,建设银行,XSHG,2008/10/7,4.44,4.44,4.29,4.55,4.18,4.47,67375760,297729152,,0.0075,0.596447945,40230000000,1.04E+12,0.0068,10.8518,9.3008,2.1846,1,
16,601939.XSHG,601939,建设银行,XSHG,2008/10/8,4.47,4.47,4.3,4.42,4.17,4.23,79830936,340792992,,0.0089,0.596447945,38070000000,9.89E+11,-0.0537,10.2691,8.8014,2.0673,1,
17,601939.XSHG,601939,建设银行,XSHG,2008/10/9,4.23,4.23,4.36,4.36,4.13,4.21,69145760,291417856,,0.0077,0.596447945,37890000000,9.84E+11,-0.0047,10.2206,8.7598,2.0575,1,
18,601939.XSHG,601939,建设银行,XSHG,2008/10/10,4.21,4.21,4,4.21,3.99,4.11,84054088,343685632,,0.0093,0.596447945,36990000000,9.60E+11,-0.0238,9.9778,8.5517,2.0087,1,
19,601939.XSHG,601939,建设银行,XSHG,2008/10/13,4.11,4.11,4.09,4.4,4.09,4.39,97589456,413935328,,0.0108,0.596447945,39510000000,1.03E+12,0.0681,10.6575,9.1343,2.1455,1,
20,601939.XSHG,601939,建设银行,XSHG,2008/10/14,4.39,4.39,4.55,4.7,4.3,4.32,98623952,443420896,,0.011,0.596447945,38880000000,1.01E+12,-0.0159,10.4876,8.9887,2.1113,1,
21,601939.XSHG,601939,建设银行,XSHG,2008/10/15,4.32,4.32,4.3,4.48,4.3,4.42,57444580,253235584,,0.0064,0.596447945,39780000000,1.03E+12,0.0231,10.7304,9.1968,2.1602,1,
22,601939.XSHG,601939,建设银行,XSHG,2008/10/16,4.42,4.42,4.27,4.29,4.08,4.15,66656416,279395296,,0.0074,0.596447945,37350000000,9.70E+11,-0.0611,10.0749,8.635,2.0282,1,
