,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000002.XSHE,2,万科A,XSHE,2008/9/8,6.36,6.36,6.35,6.38,5.98,6,74572688,453932800,30268,0.0079,0.77302444,56483149890,65971261308,-0.0566,12.5964,16.0042,2.1976,1,
1,000002.XSHE,2,万科A,XSHE,2008/9/9,6,6,5.91,6.01,5.84,5.92,46287756,273759392,20967,0.0049,0.77302444,55730041225,65091644491,-0.0133,12.4285,15.7909,2.1683,1,
2,000002.XSHE,2,万科A,XSHE,2008/9/10,5.92,5.92,5.82,6.05,5.72,5.92,61169484,361881888,21669,0.0065,0.77302444,55730041225,65091644491,0,12.4285,15.7909,2.1683,1,
3,000002.XSHE,2,万科A,XSHE,2008/9/11,5.92,5.92,5.87,5.88,5.46,5.55,70151640,399281728,28451,0.0075,0.77302444,52246913648,61023416710,-0.0625,11.6517,14.8039,2.0328,1,
4,000002.XSHE,2,万科A,XSHE,2008/9/12,5.55,5.55,5.5,5.76,5.49,5.63,66757824,378745184,21180,0.0071,0.77302444,53000022313,61903033527,0.0144,11.8197,15.0173,2.0621,1,
5,000002.XSHE,2,万科A,XSHE,2008/9/16,5.63,5.63,5.69,5.8,5.4,5.58,115217344,649132740,35329,0.0122,0.77302444,52529329398,61353273016,-0.0089,11.7147,14.8839,2.0437,1,
6,000002.XSHE,2,万科A,XSHE,2008/9/17,5.58,5.58,5.59,5.69,5.11,5.16,90702192,485547808,37209,0.0096,0.77302444,48575508905,56735284725,-0.0753,10.8329,13.7636,1.8899,1,
7,000002.XSHE,2,万科A,XSHE,2008/9/18,5.16,5.16,4.95,5.2,4.8,5.17,105825512,526654496,37705,0.0112,0.77302444,48669647489,56845236827,0.0019,10.8539,13.7903,1.8936,1,
8,000002.XSHE,2,万科A,XSHE,2008/9/19,5.17,5.17,5.69,5.69,5.54,5.69,81155976,460470272,25533,0.0086,0.77302444,53564853812,62562746140,0.1006,11.9456,15.1774,2.084,1,
9,000002.XSHE,2,万科A,XSHE,2008/9/22,5.69,5.69,6.2,6.26,5.69,5.95,248944160,1498617730,88362,0.0264,0.77302444,56012456974,65421500797,0.0457,12.4915,15.8709,2.1793,1,
10,000002.XSHE,2,万科A,XSHE,2008/9/23,5.95,5.95,5.65,5.69,5.48,5.5,113320016,632216260,46344,0.012,0.77302444,51776220733,60473656199,-0.0756,11.5467,14.6706,2.0144,1,
11,000002.XSHE,2,万科A,XSHE,2008/9/24,5.5,5.5,5.38,5.49,5.15,5.49,76184672,402494432,32299,0.0081,0.77302444,51682082149,60363704097,-0.0018,11.5257,14.6439,2.0108,1,
12,000002.XSHE,2,万科A,XSHE,2008/9/25,5.49,5.49,5.48,6.04,5.36,5.94,270289152,1589284610,101142,0.0287,0.77302444,55918318391,65311548695,0.082,12.4705,15.8442,2.1756,1,
13,000002.XSHE,2,万科A,XSHE,2008/9/26,5.94,5.94,5.9,6.53,5.87,6.53,295967776,1843731970,116230,0.0314,0.77302444,61472494797,71798722724,0.0993,13.7091,17.4179,2.3917,1,
14,000002.XSHE,2,万科A,XSHE,2008/10/6,6.53,6.53,6.3,6.6,6.17,6.27,211642352,1349323900,59217,0.0225,0.77302444,59024891635,68939968067,-0.0398,13.2478,22.7121,2.2912,1,
15,000002.XSHE,2,万科A,XSHE,2008/10/7,6.27,6.27,6.03,6.8,5.91,6.57,199933472,1287596160,70107,0.0212,0.77302444,61849049130,72238531132,0.0478,13.8816,23.7988,2.4008,1,
16,000002.XSHE,2,万科A,XSHE,2008/10/8,6.57,6.57,6.37,6.72,6.28,6.5,149679568,974411260,51735,0.0159,0.77302444,61190079048,71468866417,-0.0107,13.7337,23.5452,2.3752,1,
17,000002.XSHE,2,万科A,XSHE,2008/10/9,6.5,6.5,6.6,6.69,5.98,6.25,190539856,1209953920,81679,0.0202,0.77302444,58836614469,68720063863,-0.0385,13.2055,22.6396,2.2839,1,
18,000002.XSHE,2,万科A,XSHE,2008/10/10,6.25,6.25,5.92,6.15,5.86,5.91,103610800,618221120,46278,0.011,0.77302444,55635902642,64981692388,-0.0544,12.4871,21.408,2.1596,1,
19,000002.XSHE,2,万科A,XSHE,2008/10/13,5.91,5.91,5.91,6.38,5.58,6.37,119339056,715100480,57527,0.0127,0.77302444,59966277467,70039489089,0.0778,13.4591,23.0743,2.3277,1,
20,000002.XSHE,2,万科A,XSHE,2008/10/14,6.37,6.37,6.53,7,6.4,6.49,277397536,1858245500,110284,0.0295,0.77302444,61095940464,71358914315,0.0188,13.7126,23.509,2.3716,1,
21,000002.XSHE,2,万科A,XSHE,2008/10/15,6.49,6.49,6.42,6.8,6.36,6.71,206699728,1371101440,62515,0.022,0.77302444,63166989294,73777860563,0.0339,14.1774,24.3059,2.452,1,
22,000002.XSHE,2,万科A,XSHE,2008/10/16,6.71,6.71,6.4,7.05,6.36,6.79,280821664,1904264450,96493,0.0298,0.77302444,63920097959,74657477380,0.0119,14.3465,24.5957,2.4812,1,
23,000002.XSHE,2,万科A,XSHE,2008/10/17,6.79,6.79,6.85,6.98,6.43,6.75,176961984,1184079490,64934,0.0188,0.77302444,63543543626,74217668972,-0.0059,14.262,24.4508,2.4666,1,
24,000002.XSHE,2,万科A,XSHE,2008/10/20,6.75,6.75,6.8,7.2,6.49,7.14,231718640,1611208060,85815,0.0246,0.77302444,67214948369,78505800957,0.0578,15.086,25.8635,2.6091,1,
25,000002.XSHE,2,万科A,XSHE,2008/10/21,7.14,7.14,7.01,7.2,6.95,6.97,193651968,1370699140,72798,0.0206,0.77302444,65614592456,76636615220,-0.0238,14.7268,25.2477,2.547,1,
26,000002.XSHE,2,万科A,XSHE,2008/10/22,6.97,6.97,6.81,7.02,6.58,6.6,179738624,1217538430,67434,0.0191,0.77302444,62131464879,72568387439,-0.0531,13.945,23.9074,2.4118,1,
27,000002.XSHE,2,万科A,XSHE,2008/10/23,6.6,6.6,6.72,6.98,6.42,6.89,224953088,1515940610,84019,0.0239,0.77302444,64861483790,75756998402,0.0439,14.5578,24.9579,2.5177,1,
28,000002.XSHE,2,万科A,XSHE,2008/10/24,6.89,6.89,6.82,6.87,6.3,6.53,153797520,1016037120,71923,0.0163,0.77302444,61472494797,71798722724,-0.0522,13.7971,23.6539,2.3862,1,
29,000002.XSHE,2,万科A,XSHE,2008/10/27,6.53,6.53,6.3,6.33,5.88,5.88,139398944,841128450,67168,0.0148,0.77302444,55353486892,64651836082,-0.0995,12.4238,21.2994,2.1487,1,
30,000002.XSHE,2,万科A,XSHE,2008/10/28,5.88,5.88,5.47,6,5.3,5.79,274233824,1558936700,92938,0.0291,0.77302444,54506239644,63662267162,-0.0153,12.2336,20.9733,2.1158,1,
31,000002.XSHE,2,万科A,XSHE,2008/10/29,5.79,5.79,5.86,6.19,5.61,5.9,196229920,1159098240,81555,0.0208,0.77302444,55541764059,64871740286,0.019,12.466,21.3718,2.156,1,
32,000002.XSHE,2,万科A,XSHE,2008/10/30,5.9,5.9,5.9,6.25,5.8,5.96,149428800,903903230,61608,0.0159,0.77302444,56106595557,65531452899,0.0102,12.5928,21.5891,2.1779,1,
33,000002.XSHE,2,万科A,XSHE,2008/10/31,5.96,5.96,5.9,6.02,5.84,5.88,49972388,295481280,27669,0.0053,0.77302444,55353486892,64651836082,-0.0134,12.4238,21.2994,2.1487,1,
34,000002.XSHE,2,万科A,XSHE,2008/11/3,5.88,5.88,5.82,6.04,5.78,5.92,63697376,379838464,23853,0.0068,0.77302444,55730041225,65091644491,0.0068,12.5083,21.4443,2.1633,1,
35,000002.XSHE,2,万科A,XSHE,2008/11/4,5.92,5.92,5.91,5.91,5.49,5.5,95492976,541941310,46073,0.0101,0.77302444,51776220733,60473656199,-0.0709,11.6209,19.9229,2.0098,1,
36,000002.XSHE,2,万科A,XSHE,2008/11/5,5.5,5.5,5.59,5.9,5.59,5.8,86955880,500939008,38288,0.0092,0.77302444,54600378227,63772219264,0.0545,12.2547,21.0096,2.1194,1,
