,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600036.XSHG,600036,招商银行,XSHG,2008-09-08,20.0,20.0,20.09,20.35,19.88,20.09,27778528,558076990,,0.0038,0.5127699971,1.45570950692e+11,2.95467126765e+11,0.0045,13.2094,11.1539,3.8127,1,
1,600036.XSHG,600036,招商银行,XSHG,2008-09-09,20.09,20.09,20.2,20.25,19.9,20.18,16919688,339845024,,0.0023,0.5127699971,1.46223085364e+11,2.9679077243e+11,0.0045,13.2685,11.2039,3.8298,1,
2,600036.XSHG,600036,招商银行,XSHG,2008-09-10,20.18,20.18,19.99,20.35,19.38,19.8,27383376,542600000,,0.0038,0.5127699971,1.4346962786e+11,2.91202046289e+11,-0.0188,13.0187,10.9929,3.7576,1,
3,600036.XSHG,600036,招商银行,XSHG,2008-09-11,19.8,19.8,19.69,19.69,17.94,18.04,46155552,863843900,,0.0064,0.5127699971,1.3071677205e+11,2.65317419952e+11,-0.0889,11.8615,10.0158,3.4236,1,
4,600036.XSHG,600036,招商银行,XSHG,2008-09-12,18.04,18.04,18.19,18.28,17.7,17.85,37011108,662728000,,0.0051,0.5127699971,1.29340043298e+11,2.62523056882e+11,-0.0105,11.7365,9.9103,3.3876,1,
5,600036.XSHG,600036,招商银行,XSHG,2008-09-16,17.85,17.85,16.9,16.9,16.07,16.07,81484768,1312260860,,0.0112,0.5127699971,1.16442268672e+11,2.36344287064e+11,-0.0997,10.5662,8.922,3.0498,1,
6,600036.XSHG,600036,招商银行,XSHG,2008-09-17,16.07,16.07,15.2,15.5,14.46,14.47,150530608,2233786880,,0.0208,0.5127699971,1.0484876339e+11,2.12812808576e+11,-0.0996,9.5142,8.0337,2.7461,1,
7,600036.XSHG,600036,招商银行,XSHG,2008-09-18,14.47,14.47,13.81,15.36,13.7,14.92,122870912,1758244480,,0.017,0.5127699971,1.08109436751e+11,2.19431036901e+11,0.0311,9.81,8.2835,2.8315,1,
8,600036.XSHG,600036,招商银行,XSHG,2008-09-19,14.92,14.92,16.41,16.41,16.29,16.41,34958356,573264770,,0.0048,0.5127699971,1.18905888544e+11,2.41344726243e+11,0.0999,10.7897,9.1108,3.1143,1,
9,600036.XSHG,600036,招商银行,XSHG,2008-09-22,16.41,16.41,18.05,18.05,17.3,18.05,171054736,3070803710,,0.0236,0.5127699971,1.30789231458e+11,2.65464491693e+11,0.0999,11.868,10.0213,3.4255,1,
10,600036.XSHG,600036,招商银行,XSHG,2008-09-23,18.05,18.05,17.2,18.01,17.01,17.13,94924176,1655795970,,0.0131,0.5127699971,1.24122965921e+11,2.51933891562e+11,-0.051,11.2631,9.5105,3.2509,1,
11,600036.XSHG,600036,招商银行,XSHG,2008-09-24,17.13,17.13,16.7,16.96,16.1,16.83,44942824,740220800,,0.0062,0.5127699971,1.21949183681e+11,2.47521739346e+11,-0.0175,11.0659,9.344,3.194,1,
12,600036.XSHG,600036,招商银行,XSHG,2008-09-25,16.83,16.83,16.87,18.11,16.7,17.6,65450752,1144154370,,0.009,0.5127699971,1.27528558098e+11,2.58846263368e+11,0.0458,11.5722,9.7715,3.3401,1,
13,600036.XSHG,600036,招商银行,XSHG,2008-09-26,17.6,17.6,17.6,17.8,17.03,17.62,53503560,937605250,,0.0074,0.5127699971,1.27673476914e+11,2.59140406849e+11,0.0011,11.5853,9.7826,3.3439,1,
14,600036.XSHG,600036,招商银行,XSHG,2008-10-06,17.62,17.62,17.1,17.1,15.86,15.86,61283400,999045440,,0.0085,0.5127699971,1.14920703925e+11,2.33255863333e+11,-0.0999,9.6101,9.208,2.7908,1,
15,600036.XSHG,600036,招商银行,XSHG,2008-10-07,15.86,15.86,15.0,16.01,14.83,15.59,52647948,809934530,,0.0073,0.5127699971,1.12964298499e+11,2.29284924928e+11,-0.017,9.4465,9.0512,2.7433,1,
16,600036.XSHG,600036,招商银行,XSHG,2008-10-08,15.59,15.59,14.9,15.02,14.1,14.29,84996856,1229509250,,0.0117,0.5127699971,1.03544568669e+11,2.10165591868e+11,-0.0834,8.6588,8.2964,2.5145,1,
17,600036.XSHG,600036,招商银行,XSHG,2008-10-09,14.29,14.29,14.66,14.7,13.97,14.39,52329472,751277250,,0.0072,0.5127699971,1.04269163271e+11,2.11636309796e+11,0.007,8.7194,8.3545,2.5321,1,
18,600036.XSHG,600036,招商银行,XSHG,2008-10-10,14.39,14.39,13.68,14.3,13.45,13.84,52944384,731331140,,0.0073,0.5127699971,1.00283892958e+11,2.03547361194e+11,-0.0382,8.3861,8.0352,2.4354,1,
19,600036.XSHG,600036,招商银行,XSHG,2008-10-13,13.84,13.84,13.81,15.22,13.7,15.22,79562832,1171756540,,0.011,0.5127699971,1.1028329847e+11,2.23843268596e+11,0.0997,9.2223,8.8364,2.6782,1,
20,600036.XSHG,600036,招商银行,XSHG,2008-10-14,15.22,15.22,15.99,16.18,14.9,14.93,94038112,1476264320,,0.013,0.5127699971,1.08181974123e+11,2.19578186606e+11,-0.0191,9.0466,8.668,2.6272,1,
21,600036.XSHG,600036,招商银行,XSHG,2008-10-15,14.93,14.93,14.91,15.27,14.66,15.2,48543040,732137600,,0.0067,0.5127699971,1.1013837955e+11,2.2354912501e+11,0.0181,9.2102,8.8248,2.6747,1,
22,600036.XSHG,600036,招商银行,XSHG,2008-10-16,15.2,15.2,14.0,14.88,13.95,14.33,46806424,673378430,,0.0065,0.5127699971,1.0383440651e+11,2.10753879039e+11,-0.0572,8.683,8.3197,2.5216,1,
23,600036.XSHG,600036,招商银行,XSHG,2008-10-17,14.33,14.33,14.6,14.79,13.9,14.18,34834420,495382592,,0.0048,0.5127699971,1.02747514606e+11,2.08547802148e+11,-0.0105,8.5921,8.2326,2.4952,1,
24,600036.XSHG,600036,招商银行,XSHG,2008-10-20,14.18,14.18,14.15,14.89,13.9,14.87,51557492,738736260,,0.0071,0.5127699971,1.07747217362e+11,2.18695755849e+11,0.0487,9.0102,8.6332,2.6166,1,
25,600036.XSHG,600036,招商银行,XSHG,2008-10-21,14.87,14.87,14.87,15.2,14.6,14.63,54859240,819377790,,0.0076,0.5127699971,1.06008190316e+11,2.15166032823e+11,-0.0161,8.8648,8.4938,2.5744,1,
26,600036.XSHG,600036,招商银行,XSHG,2008-10-22,14.63,14.63,14.35,14.75,14.1,14.12,39634048,569747970,,0.0055,0.5127699971,1.02312757845e+11,2.07665371391e+11,-0.0349,8.5558,8.1977,2.4846,1,
27,600036.XSHG,600036,招商银行,XSHG,2008-10-23,14.12,14.12,13.8,13.8,12.8,13.49,76445136,1017095870,,0.0106,0.5127699971,97747811850.3,1.98399848447e+11,-0.0446,8.174,7.832,2.3738,1,
28,600036.XSHG,600036,招商银行,XSHG,2008-10-24,13.49,13.49,13.48,13.48,12.14,12.14,118994184,1495600640,,0.0164,0.5127699971,87965784719.2,1.78545156423e+11,-0.1001,7.356,7.0482,2.1362,1,
29,600036.XSHG,600036,招商银行,XSHG,2008-10-27,12.14,12.14,11.88,11.96,10.93,11.15,70521976,809072000,,0.0097,0.5127699971,80792298156.4,1.63985048939e+11,-0.0815,6.7561,6.4734,1.962,1,
30,600036.XSHG,600036,招商银行,XSHG,2008-10-28,11.15,11.15,10.93,12.09,10.68,11.8,107721280,1232232450,,0.0149,0.5127699971,85502163071.4,1.73544715469e+11,0.0583,7.15,6.8508,2.0764,1,
31,600036.XSHG,600036,招商银行,XSHG,2008-10-29,11.8,11.8,11.84,12.32,11.6,11.72,86715984,1030374910,,0.012,0.5127699971,84922487389.6,1.72368141126e+11,-0.0068,7.1015,6.8044,2.0623,1,
32,600036.XSHG,600036,招商银行,XSHG,2008-10-30,11.72,11.72,11.83,12.4,11.32,12.17,71595592,863939520,,0.0099,0.5127699971,88183163099.9,1.78986371801e+11,0.0384,7.3742,7.0656,2.1415,1,
33,600036.XSHG,600036,招商银行,XSHG,2008-10-31,12.17,12.17,12.13,12.13,11.58,11.69,40943500,483224000,,0.0057,0.5127699971,84705109008.9,1.71926925748e+11,-0.0394,7.0833,6.7869,2.057,1,
